耗材类别	总序号	产品序号	耗材分类代码	"一级分类
（学科、品类）"	"二级分类
（用途、品目）"	"三级分类
（部位、功能、品种）"	"通用名
代码"	"医保
通用名"	"材质
代码"	材质	"特征
代码"	特征参数
	2432	778	C03270208901019	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	01	钛合金	019	Z形棒/预弯棒/灭菌
	2433	779	C03270208901020	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	01	钛合金	020	Z形棒/预弯棒/非灭菌
	2434	780	C03270208901021	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	01	钛合金	021	Z形棒/非预裁棒/灭菌
	2435	781	C03270208901022	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	01	钛合金	022	Z形棒/非预裁棒/非灭菌
	2436	782	C03270208901023	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	01	钛合金	023	Z形棒/非预弯棒/灭菌
	2437	783	C03270208901024	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	01	钛合金	024	Z形棒/非预弯棒/非灭菌
	2438	784	C03270208902001	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	001	普通棒/预裁棒/灭菌
	2439	785	C03270208902002	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	002	普通棒/预裁棒/非灭菌
	2440	786	C03270208902003	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	003	普通棒/预弯棒/灭菌
	2441	787	C03270208902004	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	004	普通棒/预弯棒/非灭菌
	2442	788	C03270208902005	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	005	普通棒/非预裁棒/灭菌
	2443	789	C03270208902006	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	006	普通棒/非预裁棒/非灭菌
	2444	790	C03270208902007	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	007	普通棒/非预弯棒/灭菌
	2445	791	C03270208902008	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	008	普通棒/非预弯棒/非灭菌
	2446	792	C03270208902009	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	009	双直径棒/预裁棒/灭菌
	2447	793	C03270208902010	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	010	双直径棒/预裁棒/非灭菌
	2448	794	C03270208902011	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	011	双直径棒/预弯棒/灭菌
	2449	795	C03270208902012	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	012	双直径棒/预弯棒/非灭菌
	2450	796	C03270208902013	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	013	双直径棒/非预裁棒/灭菌
	2451	797	C03270208902014	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	014	双直径棒/非预裁棒/非灭菌
	2452	798	C03270208902015	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	015	双直径棒/非预弯棒/灭菌
	2453	799	C03270208902016	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	016	双直径棒/非预弯棒/非灭菌
	2454	800	C03270208902017	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	017	Z形棒/预裁棒/灭菌
	2455	801	C03270208902018	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	018	Z形棒/预裁棒/非灭菌
	2456	802	C03270208902019	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	019	Z形棒/预弯棒/灭菌
	2457	803	C03270208902020	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	020	Z形棒/预弯棒/非灭菌
	2458	804	C03270208902021	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	021	Z形棒/非预裁棒/灭菌
	2459	805	C03270208902022	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	022	Z形棒/非预裁棒/非灭菌
	2460	806	C03270208902023	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	023	Z形棒/非预弯棒/灭菌
	2461	807	C03270208902024	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	02	钴铬合金	024	Z形棒/非预弯棒/非灭菌
	2462	808	C03270208903001	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	001	普通棒/预裁棒/灭菌
	2463	809	C03270208903002	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	002	普通棒/预裁棒/非灭菌
	2464	810	C03270208903003	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	003	普通棒/预弯棒/灭菌
	2465	811	C03270208903004	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	004	普通棒/预弯棒/非灭菌
	2466	812	C03270208903005	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	005	普通棒/非预裁棒/灭菌
	2467	813	C03270208903006	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	006	普通棒/非预裁棒/非灭菌
	2468	814	C03270208903007	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	007	普通棒/非预弯棒/灭菌
	2469	815	C03270208903008	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	008	普通棒/非预弯棒/非灭菌
	2470	816	C03270208903009	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	009	双直径棒/预裁棒/灭菌
	2471	817	C03270208903010	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	010	双直径棒/预裁棒/非灭菌
	2472	818	C03270208903011	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	011	双直径棒/预弯棒/灭菌
	2473	819	C03270208903012	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	012	双直径棒/预弯棒/非灭菌
	2474	820	C03270208903013	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	013	双直径棒/非预裁棒/灭菌
	2475	821	C03270208903014	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	014	双直径棒/非预裁棒/非灭菌
	2476	822	C03270208903015	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	015	双直径棒/非预弯棒/灭菌
	2477	823	C03270208903016	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	016	双直径棒/非预弯棒/非灭菌
	2478	824	C03270208903017	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	017	Z形棒/预裁棒/灭菌
	2479	825	C03270208903018	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	018	Z形棒/预裁棒/非灭菌
	2480	826	C03270208903019	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	019	Z形棒/预弯棒/灭菌
	2481	827	C03270208903020	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	020	Z形棒/预弯棒/非灭菌
	2482	828	C03270208903021	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	021	Z形棒/非预裁棒/灭菌
	2483	829	C03270208903022	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	022	Z形棒/非预裁棒/非灭菌
	2484	830	C03270208903023	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	023	Z形棒/非预弯棒/灭菌
	2485	831	C03270208903024	骨科材料	小儿矫形系统	胸腰椎后路固定棒	089	内固定材料	03	纯钛	024	Z形棒/非预弯棒/非灭菌
	2486	832	C03270308901001	骨科材料	小儿矫形系统	胸腰椎后路固定钩	089	内固定材料	01	纯钛	001	灭菌
	2487	833	C03270308901002	骨科材料	小儿矫形系统	胸腰椎后路固定钩	089	内固定材料	01	纯钛	002	非灭菌
	2488	834	C03270308902001	骨科材料	小儿矫形系统	胸腰椎后路固定钩	089	内固定材料	02	钛合金	001	灭菌
	2489	835	C03270308902002	骨科材料	小儿矫形系统	胸腰椎后路固定钩	089	内固定材料	02	钛合金	002	非灭菌
	2490	836	C03270408901001	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	001	普通螺纹/有侧孔/长尾
	2491	837	C03270408901002	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	002	普通螺纹/有侧孔/短尾
	2492	838	C03270408901003	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	003	普通螺纹/无侧孔/长尾
	2493	839	C03270408901004	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	004	普通螺纹/无侧孔/短尾
	2494	840	C03270408901005	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	005	多线螺纹/有侧孔/长尾
	2495	841	C03270408901006	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	006	多线螺纹/有侧孔/短尾
	2496	842	C03270408901007	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	007	多线螺纹/无侧孔/长尾
	2497	843	C03270408901008	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	008	多线螺纹/无侧孔/短尾
	2498	844	C03270408901009	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	009	皮质骨螺纹/有侧孔/长尾
	2499	845	C03270408901010	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	010	皮质骨螺纹/有侧孔/短尾
	2500	846	C03270408901011	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	011	皮质骨螺纹/无侧孔/长尾
	2501	847	C03270408901012	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	012	皮质骨螺纹/无侧孔/短尾
	2502	848	C03270408901013	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	013	双螺纹/有侧孔/长尾
	2503	849	C03270408901014	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	014	双螺纹/有侧孔/短尾
	2504	850	C03270408901015	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	015	双螺纹/无侧孔/长尾
	2505	851	C03270408901016	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	01	钛合金	016	双螺纹/无侧孔/短尾
	2506	852	C03270408902001	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	001	普通螺纹/有侧孔/长尾
	2507	853	C03270408902002	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	002	普通螺纹/有侧孔/短尾
	2508	854	C03270408902003	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	003	普通螺纹/无侧孔/长尾
	2509	855	C03270408902004	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	004	普通螺纹/无侧孔/短尾
	2510	856	C03270408902005	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	005	多线螺纹/有侧孔/长尾
	2511	857	C03270408902006	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	006	多线螺纹/有侧孔/短尾
	2512	858	C03270408902007	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	007	多线螺纹/无侧孔/长尾
	2513	859	C03270408902008	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	008	多线螺纹/无侧孔/短尾
	2514	860	C03270408902009	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	009	皮质骨螺纹/有侧孔/长尾
	2515	861	C03270408902010	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	010	皮质骨螺纹/有侧孔/短尾
	2516	862	C03270408902011	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	011	皮质骨螺纹/无侧孔/长尾
	2517	863	C03270408902012	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	012	皮质骨螺纹/无侧孔/短尾
	2518	864	C03270408902013	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	013	双螺纹/有侧孔/长尾
	2519	865	C03270408902014	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	014	双螺纹/有侧孔/短尾
	2520	866	C03270408902015	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	015	双螺纹/无侧孔/长尾
	2521	867	C03270408902016	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺钉	089	内固定材料	02	钴铬钼合金	016	双螺纹/无侧孔/短尾
	2522	868	C03270508901001	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺帽	089	内固定材料	01	纯钛	001	单锁
	2523	869	C03270508901002	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺帽	089	内固定材料	01	纯钛	002	双锁
	2524	870	C03270508902001	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺帽	089	内固定材料	02	钛合金	001	单锁
	2525	871	C03270508902002	骨科材料	小儿矫形系统	胸腰椎后路椎弓根螺帽	089	内固定材料	02	钛合金	002	双锁
	2526	872	C03270608901000	骨科材料	小儿矫形系统	胸腰椎后路螺钉	089	内固定材料	01	钛合金	000	常规
	2527	873	C03270608902000	骨科材料	小儿矫形系统	胸腰椎后路螺钉	089	内固定材料	02	钴铬钼合金	000	常规
	2528	874	C03270708901000	骨科材料	小儿矫形系统	胸腰椎后路螺帽	089	内固定材料	01	纯钛	000	常规
	2529	875	C03270708902000	骨科材料	小儿矫形系统	胸腰椎后路螺帽	089	内固定材料	02	钛合金	000	常规
	2530	876	C03270808901001	骨科材料	小儿矫形系统	腰椎后路横连	089	内固定材料	01	纯钛	001	一体化/灭菌
	2531	877	C03270808901002	骨科材料	小儿矫形系统	腰椎后路横连	089	内固定材料	01	纯钛	002	一体化/非灭菌
	2532	878	C03270808901003	骨科材料	小儿矫形系统	腰椎后路横连	089	内固定材料	01	纯钛	003	非一体化/灭菌
	2533	879	C03270808901004	骨科材料	小儿矫形系统	腰椎后路横连	089	内固定材料	01	纯钛	004	非一体化/非灭菌
	2534	880	C03270808902001	骨科材料	小儿矫形系统	腰椎后路横连	089	内固定材料	02	钛合金	001	一体化/灭菌
	2535	881	C03270808902002	骨科材料	小儿矫形系统	腰椎后路横连	089	内固定材料	02	钛合金	002	一体化/非灭菌
	2536	882	C03270808902003	骨科材料	小儿矫形系统	腰椎后路横连	089	内固定材料	02	钛合金	003	非一体化/灭菌
	2537	883	C03270808902004	骨科材料	小儿矫形系统	腰椎后路横连	089	内固定材料	02	钛合金	004	非一体化/非灭菌
	2538	884	C03270908900001	骨科材料	小儿矫形系统	胸腰椎后路关节突融合器	089	内固定材料	00	不区分	001	灭菌
	2539	885	C03270908900002	骨科材料	小儿矫形系统	胸腰椎后路关节突融合器	089	内固定材料	00	不区分	002	非灭菌
	2540	886	C03271008900000	骨科材料	小儿矫形系统	胸腰椎后路小儿矫形系统其他部件	089	内固定材料	00	不区分	000	其他
	2541	887	C03271009000002	骨科材料	小儿矫形系统	胸腰椎后路小儿矫形系统其他部件	090	垫片	00	不区分	002	垫片
	2542	888	C03271023800001	骨科材料	小儿矫形系统	胸腰椎后路小儿矫形系统其他部件	238	连接器	00	不区分	001	连接器
	2543	889	C03280108901001	骨科材料	骶髂固定系统	骶髂固定板	089	内固定材料	01	纯钛	001	灭菌
	2544	890	C03280108901002	骨科材料	骶髂固定系统	骶髂固定板	089	内固定材料	01	纯钛	002	非灭菌
	2545	891	C03280108902001	骨科材料	骶髂固定系统	骶髂固定板	089	内固定材料	02	钛合金	001	灭菌
	2546	892	C03280108902002	骨科材料	骶髂固定系统	骶髂固定板	089	内固定材料	02	钛合金	002	非灭菌
	2547	893	C03280108903001	骨科材料	骶髂固定系统	骶髂固定板	089	内固定材料	03	钴铬钼合金	001	灭菌
	2548	894	C03280108903002	骨科材料	骶髂固定系统	骶髂固定板	089	内固定材料	03	钴铬钼合金	002	非灭菌
	2549	895	C03280208901001	骨科材料	骶髂固定系统	骶髂侧方连接器	089	内固定材料	01	纯钛	001	灭菌
	2550	896	C03280208901002	骨科材料	骶髂固定系统	骶髂侧方连接器	089	内固定材料	01	纯钛	002	非灭菌
	2551	897	C03280208902001	骨科材料	骶髂固定系统	骶髂侧方连接器	089	内固定材料	02	钛合金	001	灭菌
	2552	898	C03280208902002	骨科材料	骶髂固定系统	骶髂侧方连接器	089	内固定材料	02	钛合金	002	非灭菌
	2553	899	C03280308901001	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	01	纯钛	001	全螺纹螺钉/闭口/灭菌
	2554	900	C03280308901002	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	01	纯钛	002	全螺纹螺钉/闭口/非灭菌
	2555	901	C03280308901003	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	01	纯钛	003	全螺纹螺钉/开口/灭菌
	2556	902	C03280308901004	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	01	纯钛	004	全螺纹螺钉/开口/非灭菌
	2557	903	C03280308901005	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	01	纯钛	005	半螺纹螺钉/闭口/灭菌
	2558	904	C03280308901006	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	01	纯钛	006	半螺纹螺钉/闭口/非灭菌
	2559	905	C03280308901007	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	01	纯钛	007	半螺纹螺钉/开口/灭菌
	2560	906	C03280308901008	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	01	纯钛	008	半螺纹螺钉/开口/非灭菌
	2561	907	C03280308902001	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	02	钛合金	001	全螺纹螺钉/闭口/灭菌
	2562	908	C03280308902002	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	02	钛合金	002	全螺纹螺钉/闭口/非灭菌
	2563	909	C03280308902003	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	02	钛合金	003	全螺纹螺钉/开口/灭菌
	2564	910	C03280308902004	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	02	钛合金	004	全螺纹螺钉/开口/非灭菌
	2565	911	C03280308902005	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	02	钛合金	005	半螺纹螺钉/闭口/灭菌
	2566	912	C03280308902006	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	02	钛合金	006	半螺纹螺钉/闭口/非灭菌
	2567	913	C03280308902007	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	02	钛合金	007	半螺纹螺钉/开口/灭菌
	2568	914	C03280308902008	骨科材料	骶髂固定系统	骶髂骨螺钉	089	内固定材料	02	钛合金	008	半螺纹螺钉/开口/非灭菌
	2569	915	C03280408901001	骨科材料	骶髂固定系统	连接器	089	内固定材料	01	纯钛	001	灭菌
	2570	916	C03280408901002	骨科材料	骶髂固定系统	连接器	089	内固定材料	01	纯钛	002	非灭菌
	2571	917	C03280408902001	骨科材料	骶髂固定系统	连接器	089	内固定材料	02	钛合金	001	灭菌
	2572	918	C03280408902002	骨科材料	骶髂固定系统	连接器	089	内固定材料	02	钛合金	002	非灭菌
	2573	919	C03280508901000	骨科材料	骶髂固定系统	骶髂固定系统其他部件	089	内固定材料	01	纯钛	000	常规
	2574	920	C03280508902000	骨科材料	骶髂固定系统	骶髂固定系统其他部件	089	内固定材料	02	钛合金	000	常规
	2575	921	C03290109701001	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	01	聚醚醚酮（PEEK）	001	前路/有前凸角/灭菌
	2576	922	C03290109701002	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	01	聚醚醚酮（PEEK）	002	前路/有前凸角/非灭菌
	2577	923	C03290109701003	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	01	聚醚醚酮（PEEK）	003	前路/无前凸角/灭菌
	2578	924	C03290109701004	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	01	聚醚醚酮（PEEK）	004	前路/无前凸角/非灭菌
	2579	925	C03290109701005	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	01	聚醚醚酮（PEEK）	005	后路/有前凸角/灭菌
	2580	926	C03290109701006	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	01	聚醚醚酮（PEEK）	006	后路/有前凸角/非灭菌
	2581	927	C03290109701007	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	01	聚醚醚酮（PEEK）	007	后路/无前凸角/灭菌
	2582	928	C03290109701008	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	01	聚醚醚酮（PEEK）	008	后路/无前凸角/非灭菌
	2583	929	C03290109701009	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	01	聚醚醚酮（PEEK）	009	侧路/有前凸角/灭菌
	2584	930	C03290109701010	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	01	聚醚醚酮（PEEK）	010	侧路/有前凸角/非灭菌
	2585	931	C03290109701011	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	01	聚醚醚酮（PEEK）	011	侧路/无前凸角/灭菌
	2586	932	C03290109701012	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	01	聚醚醚酮（PEEK）	012	侧路/无前凸角/非灭菌
	2587	933	C03290109702001	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	02	碳纤维增强复合材料（CFRP）	001	前路/有前凸角/灭菌
	2588	934	C03290109702002	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	02	碳纤维增强复合材料（CFRP）	002	前路/有前凸角/非灭菌
	2589	935	C03290109702003	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	02	碳纤维增强复合材料（CFRP）	003	前路/无前凸角/灭菌
	2590	936	C03290109702004	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	02	碳纤维增强复合材料（CFRP）	004	前路/无前凸角/非灭菌
	2591	937	C03290109702005	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	02	碳纤维增强复合材料（CFRP）	005	后路/有前凸角/灭菌
	2592	938	C03290109702006	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	02	碳纤维增强复合材料（CFRP）	006	后路/有前凸角/非灭菌
	2593	939	C03290109702007	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	02	碳纤维增强复合材料（CFRP）	007	后路/无前凸角/灭菌
	2594	940	C03290109702008	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	02	碳纤维增强复合材料（CFRP）	008	后路/无前凸角/非灭菌
	2595	941	C03290109702009	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	02	碳纤维增强复合材料（CFRP）	009	侧路/有前凸角/灭菌
	2596	942	C03290109702010	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	02	碳纤维增强复合材料（CFRP）	010	侧路/有前凸角/非灭菌
	2597	943	C03290109702011	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	02	碳纤维增强复合材料（CFRP）	011	侧路/无前凸角/灭菌
	2598	944	C03290109702012	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	02	碳纤维增强复合材料（CFRP）	012	侧路/无前凸角/非灭菌
	2599	945	C03290109703001	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	03	纯钛	001	前路/有前凸角/灭菌
	2600	946	C03290109703002	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	03	纯钛	002	前路/有前凸角/非灭菌
	2601	947	C03290109703003	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	03	纯钛	003	前路/无前凸角/灭菌
	2602	948	C03290109703004	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	03	纯钛	004	前路/无前凸角/非灭菌
	2603	949	C03290109703005	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	03	纯钛	005	后路/有前凸角/灭菌
	2604	950	C03290109703006	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	03	纯钛	006	后路/有前凸角/非灭菌
	2605	951	C03290109703007	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	03	纯钛	007	后路/无前凸角/灭菌
	2606	952	C03290109703008	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	03	纯钛	008	后路/无前凸角/非灭菌
	2607	953	C03290109703009	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	03	纯钛	009	侧路/有前凸角/灭菌
	2608	954	C03290109703010	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	03	纯钛	010	侧路/有前凸角/非灭菌
	2609	955	C03290109703011	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	03	纯钛	011	侧路/无前凸角/灭菌
	2610	956	C03290109703012	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	03	纯钛	012	侧路/无前凸角/非灭菌
	2611	957	C03290109704001	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	04	钛合金	001	前路/有前凸角/灭菌
	2612	958	C03290109704002	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	04	钛合金	002	前路/有前凸角/非灭菌
	2613	959	C03290109704003	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	04	钛合金	003	前路/无前凸角/灭菌
	2614	960	C03290109704004	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	04	钛合金	004	前路/无前凸角/非灭菌
	2615	961	C03290109704005	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	04	钛合金	005	后路/有前凸角/灭菌
	2616	962	C03290109704006	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	04	钛合金	006	后路/有前凸角/非灭菌
	2617	963	C03290109704007	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	04	钛合金	007	后路/无前凸角/灭菌
	2618	964	C03290109704008	骨科材料	脊柱固定融合系统	胸腰椎融合器	097	融合器	04	钛合金	008	后路/无前凸角/非灭菌
